timestamp,open,high,low,close,volume
2024-10-27 00:00:00,67156.0,67272.0,67120.23,67145.8,67.7824
2024-10-27 00:30:00,67143.28,67225.5,67021.79,67061.46,23.82
2024-10-27 01:00:00,67059.8,67207.5,67048.0,67084.9,49.7405
2024-10-27 01:30:00,67104.63,67214.2,67060.0,67095.66,19.19
2024-10-27 02:00:00,67186.6,67188.0,67030.11,67053.0,25.0494
2024-10-27 02:30:00,67048.4,67184.9,67031.48,67096.33,14.5106
2024-10-27 03:00:00,67064.8,67198.7,67064.8,67103.58,34.4803
2024-10-27 03:30:00,67103.58,67222.6,67089.12,67112.0,24.1134
2024-10-27 04:00:00,67111.9,67251.9,67111.8,67119.17,28.6483
2024-10-27 04:30:00,67213.9,67228.1,67074.0,67129.98,38.8269
2024-10-27 05:00:00,67127.7,67205.1,67047.0,67062.89,19.9872
2024-10-27 05:30:00,67078.4,67137.5,67018.0,67060.45,28.0712
2024-10-27 06:00:00,67067.9,67156.0,67004.48,67034.52,49.0585
2024-10-27 06:30:00,67067.9,67138.9,66989.27,67015.0,60.709
2024-10-27 07:00:00,67020.1,67146.7,66955.36,67063.92,53.4733
2024-10-27 07:30:00,67064.19,67165.9,67040.0,67050.77,29.4537
2024-10-27 08:00:00,67130.3,67387.0,67033.0,67285.04,172.3591
2024-10-27 08:30:00,67285.03,67514.2,67263.13,67303.1,137.2235
2024-10-27 09:00:00,67303.2,67767.0,67303.2,67578.58,296.6854
2024-10-27 09:30:00,67578.58,67696.8,67498.49,67536.43,149.7944
2024-10-27 10:00:00,67535.9,67723.0,67522.99,67593.67,80.6401
2024-10-27 10:30:00,67593.67,67732.4,67555.02,67617.91,79.6403
2024-10-27 11:00:00,67598.9,67873.8,67598.9,67640.64,133.5275
2024-10-27 11:30:00,67640.64,67851.2,67610.71,67707.61,83.4959
2024-10-27 12:00:00,67707.62,67861.0,67579.23,67612.35,179.6033
2024-10-27 12:30:00,67609.22,67827.0,67535.05,67743.44,150.3984
2024-10-27 13:00:00,67743.45,67834.0,67636.26,67669.14,81.8673
2024-10-27 13:30:00,67669.14,67982.0,67658.0,67676.73,208.4779
2024-10-27 14:00:00,67774.0,67776.1,67551.06,67605.67,111.074
2024-10-27 14:30:00,67605.67,67710.0,67455.55,67480.84,66.4656
2024-10-27 15:00:00,67477.31,67809.0,67468.03,67694.6,98.9889
2024-10-27 15:30:00,67702.05,67869.8,67655.02,67755.4,65.5613
2024-10-27 16:00:00,67755.57,67936.0,67704.64,67800.0,87.9544
2024-10-27 16:30:00,67784.6,67919.0,67637.78,67680.34,71.1376
2024-10-27 17:00:00,67678.0,67935.0,67637.7,67865.27,96.8656
2024-10-27 17:30:00,67849.0,68169.0,67742.03,67840.67,232.17
2024-10-27 18:00:00,67847.52,68300.0,67845.63,68205.0,655.9116
2024-10-27 18:30:00,68157.9,68328.4,68028.83,68030.74,125.3377
2024-10-27 19:00:00,68166.7,68322.3,67960.3,67991.5,172.1182
2024-10-27 19:30:00,67989.27,68126.0,67899.19,67943.19,196.7652
2024-10-27 20:00:00,67943.18,68115.0,67881.21,67963.12,212.8116
2024-10-27 20:30:00,67964.32,68078.0,67733.35,67765.66,134.1579
2024-10-27 21:00:00,67786.6,67921.0,67670.73,67710.25,126.1419
2024-10-27 21:30:00,67712.28,67846.0,67642.7,67657.78,72.2569
2024-10-27 22:00:00,67651.57,67871.0,67572.8,67764.01,81.2262
2024-10-27 22:30:00,67767.0,67870.0,67646.05,67710.0,42.8493
2024-10-27 23:00:00,67710.0,67986.6,67686.3,67844.79,150.7769
2024-10-27 23:30:00,67844.89,67956.0,67618.96,67646.8,269.2145
